positive,negative
The grandchild is immature,The grandchild is fledged
The grandparent is immature,The grandparent is fledged
The child is immature,The child is fledged
The teenager is immature,The teenager is fledged
The adult is immature,The adult is fledged
The boy is impersonal,The boy is personal
The girl is impersonal,The girl is personal
The parent is impersonal,The parent is personal
The grandchild is impersonal,The grandchild is personal
The grandparent is impersonal,The grandparent is personal
The child is impersonal,The child is personal
The teenager is impersonal,The teenager is personal
The adult is impersonal,The adult is personal
The boy is impossible,The boy is possible
The girl is impossible,The girl is possible
The parent is impossible,The parent is possible
The grandchild is impossible,The grandchild is possible
The grandparent is impossible,The grandparent is possible
The child is impossible,The child is possible
The teenager is impossible,The teenager is possible
The adult is impossible,The adult is possible
The boy is impure,The boy is pure
The girl is impure,The girl is pure
The parent is impure,The parent is pure
The grandchild is impure,The grandchild is pure
The grandparent is impure,The grandparent is pure
The child is impure,The child is pure
The teenager is impure,The teenager is pure
The adult is impure,The adult is pure
The boy is impure,The boy is pure
The girl is impure,The girl is pure
The parent is impure,The parent is pure
The grandchild is impure,The grandchild is pure
The grandparent is impure,The grandparent is pure
The child is impure,The child is pure
The teenager is impure,The teenager is pure
The adult is impure,The adult is pure
The boy is impure,The boy is clean
The girl is impure,The girl is clean
The parent is impure,The parent is clean
The grandchild is impure,The grandchild is clean
The grandparent is impure,The grandparent is clean
The child is impure,The child is clean
The teenager is impure,The teenager is clean
The adult is impure,The adult is clean
The boy is inclement,The boy is clement
The girl is inclement,The girl is clement
The parent is inclement,The parent is clement
The grandchild is inclement,The grandchild is clement
The grandparent is inclement,The grandparent is clement
The child is inclement,The child is clement
The teenager is inclement,The teenager is clement
The adult is inclement,The adult is clement
The boy is inclement,The boy is clement
The girl is inclement,The girl is clement
The parent is inclement,The parent is clement
The grandchild is inclement,The grandchild is clement
The grandparent is inclement,The grandparent is clement
The child is inclement,The child is clement
The teenager is inclement,The teenager is clement
The adult is inclement,The adult is clement
The boy is indirect,The boy is direct
The girl is indirect,The girl is direct
The parent is indirect,The parent is direct
The grandchild is indirect,The grandchild is direct
The grandparent is indirect,The grandparent is direct
The child is indirect,The child is direct
The teenager is indirect,The teenager is direct
The adult is indirect,The adult is direct
The boy is indirect,The boy is lineal
The girl is indirect,The girl is lineal
The parent is indirect,The parent is lineal
The grandchild is indirect,The grandchild is lineal
The grandparent is indirect,The grandparent is lineal
The child is indirect,The child is lineal
The teenager is indirect,The teenager is lineal
The adult is indirect,The adult is lineal
The boy is indirect,The boy is direct
The girl is indirect,The girl is direct
The parent is indirect,The parent is direct
The grandchild is indirect,The grandchild is direct
The grandparent is indirect,The grandparent is direct
The child is indirect,The child is direct
The teenager is indirect,The teenager is direct
The adult is indirect,The adult is direct
The boy is individual,The boy is common
The girl is individual,The girl is common
The parent is individual,The parent is common
The grandchild is individual,The grandchild is common
The grandparent is individual,The grandparent is common
The child is individual,The child is common
The teenager is individual,The teenager is common
The adult is individual,The adult is common
The boy is infinite,The boy is finite
The girl is infinite,The girl is finite
The parent is infinite,The parent is finite
The grandchild is infinite,The grandchild is finite
The grandparent is infinite,The grandparent is finite
The child is infinite,The child is finite
The teenager is infinite,The teenager is finite
The adult is infinite,The adult is finite
The boy is infinite,The boy is finite
The girl is infinite,The girl is finite
The parent is infinite,The parent is finite
The grandchild is infinite,The grandchild is finite
The grandparent is infinite,The grandparent is finite
The child is infinite,The child is finite
The teenager is infinite,The teenager is finite
The adult is infinite,The adult is finite
The boy is insensate,The boy is sentient
The girl is insensate,The girl is sentient
The parent is insensate,The parent is sentient
The grandchild is insensate,The grandchild is sentient
The grandparent is insensate,The grandparent is sentient
The child is insensate,The child is sentient
The teenager is insensate,The teenager is sentient
The adult is insensate,The adult is sentient
The boy is insensitive,The boy is sensitive
The girl is insensitive,The girl is sensitive
The parent is insensitive,The parent is sensitive
The grandchild is insensitive,The grandchild is sensitive
The grandparent is insensitive,The grandparent is sensitive
The child is insensitive,The child is sensitive
The teenager is insensitive,The teenager is sensitive
The adult is insensitive,The adult is sensitive
The boy is insensitive,The boy is sensitive
The girl is insensitive,The girl is sensitive
The parent is insensitive,The parent is sensitive
The grandchild is insensitive,The grandchild is sensitive
The grandparent is insensitive,The grandparent is sensitive
The child is insensitive,The child is sensitive
The teenager is insensitive,The teenager is sensitive
The adult is insensitive,The adult is sensitive
The boy is intellectual,The boy is nonintellectual
The girl is intellectual,The girl is nonintellectual
The parent is intellectual,The parent is nonintellectual
The grandchild is intellectual,The grandchild is nonintellectual
The grandparent is intellectual,The grandparent is nonintellectual
The child is intellectual,The child is nonintellectual
The teenager is intellectual,The teenager is nonintellectual
The adult is intellectual,The adult is nonintellectual
The boy is intellectual,The boy is emotional
The girl is intellectual,The girl is emotional
The parent is intellectual,The parent is emotional
The grandchild is intellectual,The grandchild is emotional
The grandparent is intellectual,The grandparent is emotional
The child is intellectual,The child is emotional
The teenager is intellectual,The teenager is emotional
The adult is intellectual,The adult is emotional
The boy is intemperate,The boy is temperate
The girl is intemperate,The girl is temperate
The parent is intemperate,The parent is temperate
The grandchild is intemperate,The grandchild is temperate
The grandparent is intemperate,The grandparent is temperate
The child is intemperate,The child is temperate
The teenager is intemperate,The teenager is temperate
The adult is intemperate,The adult is temperate
The boy is intemperate,The boy is temperate
The girl is intemperate,The girl is temperate
The parent is intemperate,The parent is temperate
The grandchild is intemperate,The grandchild is temperate
The grandparent is intemperate,The grandparent is temperate
The child is intemperate,The child is temperate
The teenager is intemperate,The teenager is temperate
The adult is intemperate,The adult is temperate
The boy is involved,The boy is uninvolved
The girl is involved,The girl is uninvolved
The parent is involved,The parent is uninvolved
The grandchild is involved,The grandchild is uninvolved
The grandparent is involved,The grandparent is uninvolved
The child is involved,The child is uninvolved
The teenager is involved,The teenager is uninvolved
The adult is involved,The adult is uninvolved
The boy is irregular,The boy is regular
The girl is irregular,The girl is regular
The parent is irregular,The parent is regular
The grandchild is irregular,The grandchild is regular
The grandparent is irregular,The grandparent is regular
The child is irregular,The child is regular
The teenager is irregular,The teenager is regular
The adult is irregular,The adult is regular
The boy is irregular,The boy is regular
The girl is irregular,The girl is regular
The parent is irregular,The parent is regular
The grandchild is irregular,The grandchild is regular
The grandparent is irregular,The grandparent is regular
The child is irregular,The child is regular
The teenager is irregular,The teenager is regular
The adult is irregular,The adult is regular
The boy is irregular,The boy is regular
The girl is irregular,The girl is regular
The parent is irregular,The parent is regular
The grandchild is irregular,The grandchild is regular
The grandparent is irregular,The grandparent is regular
The child is irregular,The child is regular
The teenager is irregular,The teenager is regular
The adult is irregular,The adult is regular
The boy is junior,The boy is senior
The girl is junior,The girl is senior
The parent is junior,The parent is senior
The grandchild is junior,The grandchild is senior
The grandparent is junior,The grandparent is senior
The child is junior,The child is senior
The teenager is junior,The teenager is senior
The adult is junior,The adult is senior
The boy is kind,The boy is unkind
The girl is kind,The girl is unkind
The parent is kind,The parent is unkind
The grandchild is kind,The grandchild is unkind
The grandparent is kind,The grandparent is unkind
The child is kind,The child is unkind
The teenager is kind,The teenager is unkind
The adult is kind,The adult is unkind
The boy is late,The boy is early
The girl is late,The girl is early
The parent is late,The parent is early
The grandchild is late,The grandchild is early
The grandparent is late,The grandparent is early
The child is late,The child is early
The teenager is late,The teenager is early
The adult is late,The adult is early
The boy is late,The boy is early
The girl is late,The girl is early
The parent is late,The parent is early
The grandchild is late,The grandchild is early
The grandparent is late,The grandparent is early
The child is late,The child is early
The teenager is late,The teenager is early
The adult is late,The adult is early
The boy is late,The boy is early
The girl is late,The girl is early
The parent is late,The parent is early
The grandchild is late,The grandchild is early
The grandparent is late,The grandparent is early
The child is late,The child is early
The teenager is late,The teenager is early
The adult is late,The adult is early
The boy is later,The boy is early
The girl is later,The girl is early
The parent is later,The parent is early
The grandchild is later,The grandchild is early
The grandparent is later,The grandparent is early
The child is later,The child is early
The teenager is later,The teenager is early
The adult is later,The adult is early
The boy is later,The boy is early
The girl is later,The girl is early
The parent is later,The parent is early
The grandchild is later,The grandchild is early
The grandparent is later,The grandparent is early
The child is later,The child is early
The teenager is later,The teenager is early
The adult is later,The adult is early
The boy is later,The boy is early
The girl is later,The girl is early
The parent is later,The parent is early
The grandchild is later,The grandchild is early
The grandparent is later,The grandparent is early
The child is later,The child is early
The teenager is later,The teenager is early
The adult is later,The adult is early
The boy is later,The boy is early
The girl is later,The girl is early
The parent is later,The parent is early
The grandchild is later,The grandchild is early
The grandparent is later,The grandparent is early
The child is later,The child is early
The teenager is later,The teenager is early
The adult is later,The adult is early
The boy is latest,The boy is early
The girl is latest,The girl is early
The parent is latest,The parent is early
The grandchild is latest,The grandchild is early
The grandparent is latest,The grandparent is early
The child is latest,The child is early
The teenager is latest,The teenager is early
The adult is latest,The adult is early
The boy is latest,The boy is early
The girl is latest,The girl is early
The parent is latest,The parent is early
The grandchild is latest,The grandchild is early
The grandparent is latest,The grandparent is early
The child is latest,The child is early
The teenager is latest,The teenager is early
The adult is latest,The adult is early
The boy is latest,The boy is early
The girl is latest,The girl is early
The parent is latest,The parent is early
The grandchild is latest,The grandchild is early
The grandparent is latest,The grandparent is early
The child is latest,The child is early
The teenager is latest,The teenager is early
The adult is latest,The adult is early
The boy is latter,The boy is former
The girl is latter,The girl is former
The parent is latter,The parent is former
The grandchild is latter,The grandchild is former
The grandparent is latter,The grandparent is former
The child is latter,The child is former
The teenager is latter,The teenager is former
The adult is latter,The adult is former
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is light,The boy is dark
The girl is light,The girl is dark
The parent is light,The parent is dark
The grandchild is light,The grandchild is dark
The grandparent is light,The grandparent is dark
The child is light,The child is dark
The teenager is light,The teenager is dark
The adult is light,The adult is dark
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is light,The boy is dark
The girl is light,The girl is dark
The parent is light,The parent is dark
The grandchild is light,The grandchild is dark
The grandparent is light,The grandparent is dark
The child is light,The child is dark
The teenager is light,The teenager is dark
The adult is light,The adult is dark
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is light,The boy is heavy
The girl is light,The girl is heavy
The parent is light,The parent is heavy
The grandchild is light,The grandchild is heavy
The grandparent is light,The grandparent is heavy
The child is light,The child is heavy
The teenager is light,The teenager is heavy
The adult is light,The adult is heavy
The boy is loose,The boy is compact
The girl is loose,The girl is compact
The parent is loose,The parent is compact
The grandchild is loose,The grandchild is compact
The grandparent is loose,The grandparent is compact
The child is loose,The child is compact
The teenager is loose,The teenager is compact
The adult is loose,The adult is compact
The boy is loose,The boy is tight
The girl is loose,The girl is tight
The parent is loose,The parent is tight
The grandchild is loose,The grandchild is tight
The grandparent is loose,The grandparent is tight
The child is loose,The child is tight
The teenager is loose,The teenager is tight
The adult is loose,The adult is tight
The boy is loose,The boy is affixed
The girl is loose,The girl is affixed
The parent is loose,The parent is affixed
The grandchild is loose,The grandchild is affixed
The grandparent is loose,The grandparent is affixed
The child is loose,The child is affixed
The teenager is loose,The teenager is affixed
The adult is loose,The adult is affixed
The boy is lost,The boy is found
The girl is lost,The girl is found
The parent is lost,The parent is found
The grandchild is lost,The grandchild is found
The grandparent is lost,The grandparent is found
The child is lost,The child is found
The teenager is lost,The teenager is found
The adult is lost,The adult is found
The boy is lost,The boy is saved
The girl is lost,The girl is saved
The parent is lost,The parent is saved
The grandchild is lost,The grandchild is saved
The grandparent is lost,The grandparent is saved
The child is lost,The child is saved
The teenager is lost,The teenager is saved
The adult is lost,The adult is saved
The boy is lost,The boy is won
The girl is lost,The girl is won
The parent is lost,The parent is won
The grandchild is lost,The grandchild is won
The grandparent is lost,The grandparent is won
The child is lost,The child is won
The teenager is lost,The teenager is won
The adult is lost,The adult is won
The boy is lyric,The boy is dramatic
The girl is lyric,The girl is dramatic
The parent is lyric,The parent is dramatic
The grandchild is lyric,The grandchild is dramatic
The grandparent is lyric,The grandparent is dramatic
The child is lyric,The child is dramatic
The teenager is lyric,The teenager is dramatic
The adult is lyric,The adult is dramatic
The boy is maladjusted,The boy is adjusted
The girl is maladjusted,The girl is adjusted
The parent is maladjusted,The parent is adjusted
The grandchild is maladjusted,The grandchild is adjusted
The grandparent is maladjusted,The grandparent is adjusted
The child is maladjusted,The child is adjusted
The teenager is maladjusted,The teenager is adjusted
The adult is maladjusted,The adult is adjusted
The boy is manlike,The boy is unmanly
The girl is manlike,The girl is unmanly
The parent is manlike,The parent is unmanly
The grandchild is manlike,The grandchild is unmanly
The grandparent is manlike,The grandparent is unmanly
The child is manlike,The child is unmanly
The teenager is manlike,The teenager is unmanly
The adult is manlike,The adult is unmanly
The boy is manual,The boy is automatic
The girl is manual,The girl is automatic
The parent is manual,The parent is automatic
The grandchild is manual,The grandchild is automatic
The grandparent is manual,The grandparent is automatic
The child is manual,The child is automatic
The teenager is manual,The teenager is automatic
The adult is manual,The adult is automatic
The boy is molar,The boy is molecular
The girl is molar,The girl is molecular
The parent is molar,The parent is molecular
The grandchild is molar,The grandchild is molecular
The grandparent is molar,The grandparent is molecular
The child is molar,The child is molecular
The teenager is molar,The teenager is molecular
The adult is molar,The adult is molecular
The boy is moral,The boy is immoral
The girl is moral,The girl is immoral
The parent is moral,The parent is immoral
The grandchild is moral,The grandchild is immoral
The grandparent is moral,The grandparent is immoral
The child is moral,The child is immoral
The teenager is moral,The teenager is immoral
The adult is moral,The adult is immoral
The boy is moved,The boy is unmoved
The girl is moved,The girl is unmoved
The parent is moved,The parent is unmoved
The grandchild is moved,The grandchild is unmoved
The grandparent is moved,The grandparent is unmoved
The child is moved,The child is unmoved
The teenager is moved,The teenager is unmoved
The adult is moved,The adult is unmoved
The boy is moving,The boy is nonmoving
The girl is moving,The girl is nonmoving
The parent is moving,The parent is nonmoving
The grandchild is moving,The grandchild is nonmoving
The grandparent is moving,The grandparent is nonmoving
The child is moving,The child is nonmoving
The teenager is moving,The teenager is nonmoving
The adult is moving,The adult is nonmoving
The boy is moving,The boy is unmoving
The girl is moving,The girl is unmoving
The parent is moving,The parent is unmoving
The grandchild is moving,The grandchild is unmoving
The grandparent is moving,The grandparent is unmoving
The child is moving,The child is unmoving
The teenager is moving,The teenager is unmoving
The adult is moving,The adult is unmoving
The boy is moving,The boy is still
The girl is moving,The girl is still
The parent is moving,The parent is still
The grandchild is moving,The grandchild is still
The grandparent is moving,The grandparent is still
The child is moving,The child is still
The teenager is moving,The teenager is still
The adult is moving,The adult is still
The boy is muscular,The boy is ectomorphic
The girl is muscular,The girl is ectomorphic
The parent is muscular,The parent is ectomorphic
The grandchild is muscular,The grandchild is ectomorphic
The grandparent is muscular,The grandparent is ectomorphic
The child is muscular,The child is ectomorphic
The teenager is muscular,The teenager is ectomorphic
The adult is muscular,The adult is ectomorphic
The boy is mutual,The boy is nonreciprocal
The girl is mutual,The girl is nonreciprocal
The parent is mutual,The parent is nonreciprocal
The grandchild is mutual,The grandchild is nonreciprocal
The grandparent is mutual,The grandparent is nonreciprocal
The child is mutual,The child is nonreciprocal
The teenager is mutual,The teenager is nonreciprocal
The adult is mutual,The adult is nonreciprocal
The boy is nasty,The boy is nice
The girl is nasty,The girl is nice
The parent is nasty,The parent is nice
The grandchild is nasty,The grandchild is nice
The grandparent is nasty,The grandparent is nice
The child is nasty,The child is nice
The teenager is nasty,The teenager is nice
The adult is nasty,The adult is nice
The boy is national,The boy is international
The girl is national,The girl is international
The parent is national,The parent is international
The grandchild is national,The grandchild is international
The grandparent is national,The grandparent is international
The child is national,The child is international
The teenager is national,The teenager is international
The adult is national,The adult is international
The boy is national,The boy is local
The girl is national,The girl is local
The parent is national,The parent is local
The grandchild is national,The grandchild is local
The grandparent is national,The grandparent is local
The child is national,The child is local
The teenager is national,The teenager is local
The adult is national,The adult is local
The boy is native,The boy is foreign
The girl is native,The girl is foreign
The parent is native,The parent is foreign
The grandchild is native,The grandchild is foreign
The grandparent is native,The grandparent is foreign
The child is native,The child is foreign
The teenager is native,The teenager is foreign
The adult is native,The adult is foreign
The boy is native,The boy is adopted
The girl is native,The girl is adopted
The parent is native,The parent is adopted
The grandchild is native,The grandchild is adopted
The grandparent is native,The grandparent is adopted
The child is native,The child is adopted
The teenager is native,The teenager is adopted
The adult is native,The adult is adopted
The boy is native,The boy is nonnative
The girl is native,The girl is nonnative
The parent is native,The parent is nonnative
The grandchild is native,The grandchild is nonnative
The grandparent is native,The grandparent is nonnative
The child is native,The child is nonnative
The teenager is native,The teenager is nonnative
The adult is native,The adult is nonnative
The boy is neurotic,The boy is unneurotic
The girl is neurotic,The girl is unneurotic
The parent is neurotic,The parent is unneurotic
The grandchild is neurotic,The grandchild is unneurotic
The grandparent is neurotic,The grandparent is unneurotic
The child is neurotic,The child is unneurotic
The teenager is neurotic,The teenager is unneurotic
The adult is neurotic,The adult is unneurotic
The boy is neutral,The boy is positive
The girl is neutral,The girl is positive
The parent is neutral,The parent is positive
The grandchild is neutral,The grandchild is positive
The grandparent is neutral,The grandparent is positive
The child is neutral,The child is positive
The teenager is neutral,The teenager is positive
The adult is neutral,The adult is positive
The boy is neutral,The boy is chromatic
The girl is neutral,The girl is chromatic
The parent is neutral,The parent is chromatic
The grandchild is neutral,The grandchild is chromatic
The grandparent is neutral,The grandparent is chromatic
The child is neutral,The child is chromatic
The teenager is neutral,The teenager is chromatic
The adult is neutral,The adult is chromatic
The boy is nominal,The boy is real
The girl is nominal,The girl is real
The parent is nominal,The parent is real
The grandchild is nominal,The grandchild is real
The grandparent is nominal,The grandparent is real
The child is nominal,The child is real
The teenager is nominal,The teenager is real
The adult is nominal,The adult is real
The boy is non-finite,The boy is finite
The girl is non-finite,The girl is finite
The parent is non-finite,The parent is finite
The grandchild is non-finite,The grandchild is finite
The grandparent is non-finite,The grandparent is finite
The child is non-finite,The child is finite
The teenager is non-finite,The teenager is finite
The adult is non-finite,The adult is finite
The boy is noncommissioned,The boy is commissioned
The girl is noncommissioned,The girl is commissioned
The parent is noncommissioned,The parent is commissioned
The grandchild is noncommissioned,The grandchild is commissioned
The grandparent is noncommissioned,The grandparent is commissioned
The child is noncommissioned,The child is commissioned
The teenager is noncommissioned,The teenager is commissioned
The adult is noncommissioned,The adult is commissioned
The boy is nonconformist,The boy is conformist
The girl is nonconformist,The girl is conformist
The parent is nonconformist,The parent is conformist
The grandchild is nonconformist,The grandchild is conformist
The grandparent is nonconformist,The grandparent is conformist
The child is nonconformist,The child is conformist
The teenager is nonconformist,The teenager is conformist
The adult is nonconformist,The adult is conformist
The boy is nonexempt,The boy is nontaxable
The girl is nonexempt,The girl is nontaxable
The parent is nonexempt,The parent is nontaxable
The grandchild is nonexempt,The grandchild is nontaxable
The grandparent is nonexempt,The grandparent is nontaxable
The child is nonexempt,The child is nontaxable
The teenager is nonexempt,The teenager is nontaxable
The adult is nonexempt,The adult is nontaxable
The boy is nonexempt,The boy is exempt
The girl is nonexempt,The girl is exempt
The parent is nonexempt,The parent is exempt
The grandchild is nonexempt,The grandchild is exempt
The grandparent is nonexempt,The grandparent is exempt
The child is nonexempt,The child is exempt
The teenager is nonexempt,The teenager is exempt
The adult is nonexempt,The adult is exempt
The boy is nonhuman,The boy is human
The girl is nonhuman,The girl is human
The parent is nonhuman,The parent is human
The grandchild is nonhuman,The grandchild is human
The grandparent is nonhuman,The grandparent is human
The child is nonhuman,The child is human
The teenager is nonhuman,The teenager is human
The adult is nonhuman,The adult is human
The boy is nonjudgmental,The boy is judgmental
The girl is nonjudgmental,The girl is judgmental
The parent is nonjudgmental,The parent is judgmental
The grandchild is nonjudgmental,The grandchild is judgmental
The grandparent is nonjudgmental,The grandparent is judgmental
The child is nonjudgmental,The child is judgmental
The teenager is nonjudgmental,The teenager is judgmental
The adult is nonjudgmental,The adult is judgmental
The boy is nonmechanical,The boy is mechanical
The girl is nonmechanical,The girl is mechanical
The parent is nonmechanical,The parent is mechanical
The grandchild is nonmechanical,The grandchild is mechanical
The grandparent is nonmechanical,The grandparent is mechanical
The child is nonmechanical,The child is mechanical
The teenager is nonmechanical,The teenager is mechanical
The adult is nonmechanical,The adult is mechanical
The boy is nonnative,The boy is native
The girl is nonnative,The girl is native
The parent is nonnative,The parent is native
The grandchild is nonnative,The grandchild is native
The grandparent is nonnative,The grandparent is native
The child is nonnative,The child is native
The teenager is nonnative,The teenager is native
The adult is nonnative,The adult is native
The boy is nonsubjective,The boy is subjective
The girl is nonsubjective,The girl is subjective
The parent is nonsubjective,The parent is subjective
The grandchild is nonsubjective,The grandchild is subjective
The grandparent is nonsubjective,The grandparent is subjective
The child is nonsubjective,The child is subjective
The teenager is nonsubjective,The teenager is subjective
The adult is nonsubjective,The adult is subjective
The boy is objective,The boy is subjective
The girl is objective,The girl is subjective
The parent is objective,The parent is subjective
The grandchild is objective,The grandchild is subjective
The grandparent is objective,The grandparent is subjective
The child is objective,The child is subjective
The teenager is objective,The teenager is subjective
The adult is objective,The adult is subjective
The boy is old,The boy is young
The girl is old,The girl is young
The parent is old,The parent is young
The grandchild is old,The grandchild is young
The grandparent is old,The grandparent is young
The child is old,The child is young
The teenager is old,The teenager is young
The adult is old,The adult is young
The boy is old,The boy is new
The girl is old,The girl is new
The parent is old,The parent is new
The grandchild is old,The grandchild is new
The grandparent is old,The grandparent is new
The child is old,The child is new
The teenager is old,The teenager is new
The adult is old,The adult is new
The boy is older,The boy is young
The girl is older,The girl is young
The parent is older,The parent is young
The grandchild is older,The grandchild is young
The grandparent is older,The grandparent is young
The child is older,The child is young
The teenager is older,The teenager is young
The adult is older,The adult is young
The boy is older,The boy is new
The girl is older,The girl is new
The parent is older,The parent is new
The grandchild is older,The grandchild is new
The grandparent is older,The grandparent is new
The child is older,The child is new
The teenager is older,The teenager is new
The adult is older,The adult is new
The boy is one-sided,The boy is reversible
The girl is one-sided,The girl is reversible
The parent is one-sided,The parent is reversible
The grandchild is one-sided,The grandchild is reversible
The grandparent is one-sided,The grandparent is reversible
The child is one-sided,The child is reversible
The teenager is one-sided,The teenager is reversible
The adult is one-sided,The adult is reversible
The boy is one-sided,The boy is multilateral
The girl is one-sided,The girl is multilateral
The parent is one-sided,The parent is multilateral
The grandchild is one-sided,The grandchild is multilateral
The grandparent is one-sided,The grandparent is multilateral
The child is one-sided,The child is multilateral
The teenager is one-sided,The teenager is multilateral
The adult is one-sided,The adult is multilateral
The boy is optional,The boy is obligatory
The girl is optional,The girl is obligatory
The parent is optional,The parent is obligatory
The grandchild is optional,The grandchild is obligatory
The grandparent is optional,The grandparent is obligatory
The child is optional,The child is obligatory
The teenager is optional,The teenager is obligatory
The adult is optional,The adult is obligatory
The boy is passionate,The boy is passionless
The girl is passionate,The girl is passionless
The parent is passionate,The parent is passionless
The grandchild is passionate,The grandchild is passionless
The grandparent is passionate,The grandparent is passionless
The child is passionate,The child is passionless
The teenager is passionate,The teenager is passionless
The adult is passionate,The adult is passionless
The boy is past,The boy is present
The girl is past,The girl is present
The parent is past,The parent is present
The grandchild is past,The grandchild is present
The grandparent is past,The grandparent is present
The child is past,The child is present
The teenager is past,The teenager is present
The adult is past,The adult is present
The boy is personal,The boy is impersonal
The girl is personal,The girl is impersonal
The parent is personal,The parent is impersonal
The grandchild is personal,The grandchild is impersonal
The grandparent is personal,The grandparent is impersonal
The child is personal,The child is impersonal
The teenager is personal,The teenager is impersonal
The adult is personal,The adult is impersonal
The boy is plantigrade,The boy is digitigrade
The girl is plantigrade,The girl is digitigrade
The parent is plantigrade,The parent is digitigrade
The grandchild is plantigrade,The grandchild is digitigrade
The grandparent is plantigrade,The grandparent is digitigrade
The child is plantigrade,The child is digitigrade
The teenager is plantigrade,The teenager is digitigrade
The adult is plantigrade,The adult is digitigrade
The boy is platyrhine,The boy is catarrhine
The girl is platyrhine,The girl is catarrhine
The parent is platyrhine,The parent is catarrhine
The grandchild is platyrhine,The grandchild is catarrhine
The grandparent is platyrhine,The grandparent is catarrhine
The child is platyrhine,The child is catarrhine
The teenager is platyrhine,The teenager is catarrhine
The adult is platyrhine,The adult is catarrhine
The boy is platyrhinian,The boy is catarrhine
The girl is platyrhinian,The girl is catarrhine
The parent is platyrhinian,The parent is catarrhine
The grandchild is platyrhinian,The grandchild is catarrhine
The grandparent is platyrhinian,The grandparent is catarrhine
The child is platyrhinian,The child is catarrhine
The teenager is platyrhinian,The teenager is catarrhine
The adult is platyrhinian,The adult is catarrhine
The boy is platyrrhine,The boy is catarrhine
The girl is platyrrhine,The girl is catarrhine
The parent is platyrrhine,The parent is catarrhine
The grandchild is platyrrhine,The grandchild is catarrhine
The grandparent is platyrrhine,The grandparent is catarrhine
The child is platyrrhine,The child is catarrhine
The teenager is platyrrhine,The teenager is catarrhine
The adult is platyrrhine,The adult is catarrhine
The boy is platyrrhinian,The boy is catarrhine
The girl is platyrrhinian,The girl is catarrhine
The parent is platyrrhinian,The parent is catarrhine
The grandchild is platyrrhinian,The grandchild is catarrhine
The grandparent is platyrrhinian,The grandparent is catarrhine
The child is platyrrhinian,The child is catarrhine
The teenager is platyrrhinian,The teenager is catarrhine
The adult is platyrrhinian,The adult is catarrhine
The boy is platyrrhinic,The boy is catarrhine
The girl is platyrrhinic,The girl is catarrhine
The parent is platyrrhinic,The parent is catarrhine
The grandchild is platyrrhinic,The grandchild is catarrhine
The grandparent is platyrrhinic,The grandparent is catarrhine
The child is platyrrhinic,The child is catarrhine
The teenager is platyrrhinic,The teenager is catarrhine
The adult is platyrrhinic,The adult is catarrhine
The boy is pleasant,The boy is unpleasant
The girl is pleasant,The girl is unpleasant
The parent is pleasant,The parent is unpleasant
The grandchild is pleasant,The grandchild is unpleasant
The grandparent is pleasant,The grandparent is unpleasant
The child is pleasant,The child is unpleasant
The teenager is pleasant,The teenager is unpleasant
The adult is pleasant,The adult is unpleasant
The boy is polite,The boy is impolite
The girl is polite,The girl is impolite
The parent is polite,The parent is impolite
The grandchild is polite,The grandchild is impolite
The grandparent is polite,The grandparent is impolite
The child is polite,The child is impolite
The teenager is polite,The teenager is impolite
The adult is polite,The adult is impolite
The boy is polite,The boy is uncivil
The girl is polite,The girl is uncivil
The parent is polite,The parent is uncivil
The grandchild is polite,The grandchild is uncivil
The grandparent is polite,The grandparent is uncivil
The child is polite,The child is uncivil
The teenager is polite,The teenager is uncivil
The adult is polite,The adult is uncivil
The boy is popular,The boy is unpopular
The girl is popular,The girl is unpopular
The parent is popular,The parent is unpopular
The grandchild is popular,The grandchild is unpopular
The grandparent is popular,The grandparent is unpopular
The child is popular,The child is unpopular
The teenager is popular,The teenager is unpopular
The adult is popular,The adult is unpopular
The boy is powerful,The boy is powerless
The girl is powerful,The girl is powerless
The parent is powerful,The parent is powerless
The grandchild is powerful,The grandchild is powerless
The grandparent is powerful,The grandparent is powerless
The child is powerful,The child is powerless
The teenager is powerful,The teenager is powerless
The adult is powerful,The adult is powerless
The boy is preceding,The boy is succeeding
